t,forward,zero_rate,discount
0.05,0.01883120567634254,0.018817136148929114,0.9990595856595427
0.1,0.020791965219508192,0.019512599387964874,0.9980506425312722
0.15000000000000002,0.02147789382750029,0.020061594658343573,0.9969952840232362
0.2,0.022075751453608836,0.020486761241002346,0.9959110304466631
0.25,0.022459670434994944,0.020848923111371164,0.9948013293273026
0.3,0.02270679904049595,0.02113020150160013,0.9936809890059419
0.35000000000000003,0.023701157315794915,0.02141668353300827,0.9925321845021805
0.4,0.024428044272913098,0.02176036679022105,0.9913336247001789
0.45,0.02458913282867703,0.022061828480841254,0.99012129533673
0.5,0.024818411711925482,0.022326928974510392,0.9888986157574754
0.55,0.0249472131712402,0.02255804303964071,0.987669724887287
0.6000000000000001,0.025553764699445734,0.022777268427484156,0.9864265996955282
0.6500000000000001,0.025941360795825152,0.023015356325768208,0.9851513629839569
0.7000000000000001,0.025941360795825152,0.023224356645057984,0.9838743829806795
0.7500000000000001,0.0260536481898516,0.023407687651273556,0.9825974388654128
0.8,0.026319205976089114,0.023582018311708225,0.9813112272355985
0.8500000000000001,0.026502999694860415,0.0237486790402107,0.9800160036613441
0.9000000000000001,0.02666506465299833,0.023909513039470705,0.9787113107200414
0.9500000000000001,0.02666506465299833,0.024054542071761633,0.9774073101758253
1.0,0.026698672117197772,0.024185593033145898,0.9761045347447485
1.05,0.026812729764918917,0.024307840343648277,0.9747997318035617
1.1,0.026894437182780683,0.02442375185806153,0.9734915569937882
1.1500000000000001,0.026924422357962767,0.024532012210200668,0.9721824231027962
1.2000000000000002,0.026887894590500352,0.024631233655113483,0.9708750697633804
1.2500000000000002,0.026764826098891834,0.024719327561891064,0.9695733404531099
1.3,0.026671434724453016,0.024795562238842443,0.9682797544667128
1.35,0.026620597453032406,0.02486415359883944,0.9669905004034473
1.4000000000000001,0.02655160574138837,0.024925705772710492,0.965705855952513
1.4500000000000002,0.02646445958952091,0.02498032093694369,0.9644266827292015
1.5000000000000002,0.026359158997430028,0.025028087644495375,0.9631538377820966
1.55,0.02623026484073225,0.025069040819585473,0.9618882365670627
1.6,0.02611018693211463,0.025103366938048127,0.9606305501118896
1.6500000000000001,0.02602310033589276,0.02513247382956093,0.9593794768262405
1.7000000000000002,0.025969005052066636,0.025157792346866395,0.9581334146417434
1.7500000000000002,0.025947901080636267,0.02518058981667931,0.956890769804084
1.8,0.025901519772784386,0.025201674996141944,0.9556505033968689
1.85,0.025819795569119064,0.02521929461516689,0.9544159511735558
1.9000000000000001,0.025813110698983045,0.02523490523330634,0.95318495272653
1.9500000000000002,0.025831002433077958,0.025249923455426877,0.9519551556232004
2.0,0.025866182207453035,0.02526485416029726,0.9507256837893635
2.05,0.025911103914345545,0.025280100868689374,0.9494957670899948
2.1,0.02593873130784171,0.025295465813912194,0.9482657602393294
2.15,0.0259602272178892,0.02531068731172399,0.9470361837390832
2.1999999999999997,0.02597559164448802,0.025325635790733506,0.9458073300093769
2.25,0.02598482458763817,0.025340193197006474,0.9445794899593177
2.3,0.025987766715358344,0.025354251235412423,0.9433529540891761
2.35,0.02598821775146551,0.025367731127890425,0.9421279664434725
2.4,0.02599819950528514,0.025380739182194995,0.9409043666631918
2.45,0.0260212719854909,0.025393553583609844,0.9396815795358291
2.5,0.02605743519208279,0.02540644776583607,0.9384589917691767
2.55,0.026097571058009885,0.025419658917020072,0.9372360286380853
2.6,0.026106180592535604,0.025432744414768026,0.9360137284371521
2.65,0.026136728938760526,0.02544570421650298,0.9347921104556253
2.7,0.02618936759211793,0.025458954275577206,0.9335701453177647
2.75,0.026264096552607818,0.02547288040172008,0.9323468087646918
2.8,0.02636041544199404,0.02548784060880796,0.9311210825614814
2.85,0.026449244546366088,0.02550395422190938,0.9298925198824443
2.9,0.026520234913830803,0.02552088994724728,0.9286618677601498
2.95,0.026573386544388188,0.02553830363103153,0.9274299659960106
3.0,0.026608699438038244,0.02555587406305804,0.9261976499986149
3.05,0.02662730884592416,0.025573301608529744,0.9249657493305472
3.1,0.02665756354698453,0.025590543754162507,0.9237344082309193
3.15,0.026689276952364453,0.025607730340461217,0.9225032771824604
3.2,0.02672244906206393,0.025624886764024645,0.9212722925240213
3.25,0.02675707987608296,0.025642036858583964,0.9200413909478257
3.3,0.026793169394421546,0.02565920301340177,0.9188105094993679
3.35,0.026830717617079686,0.025676406281068268,0.9175795855773543
3.4,0.02686972454405738,0.02569366647578602,0.9163485569336868
3.45,0.02691019017535463,0.025711002263108143,0.9151173616734893
3.5,0.026952114510971435,0.025728431241984737,0.9138859382551756
3.55,0.026995497550907792,0.025745970019875747,0.9126542254905585
3.6,0.027040339295163703,0.02576363428160445,0.9114221625450001
3.65,0.02708663974373917,0.02578143885255176,0.9101896889376029
3.7,0.02713439889663419,0.02579939775672665,0.9089567445414403
3.75,0.027183616753848765,0.025817524270190937,0.9077232695838271
3.8,0.027234293315382893,0.02583583097026635,0.9064892046466292
3.85,0.027286428581236578,0.02585432978090726,0.905254490666612
3.9,0.027340022551409816,0.025873032014583193,0.9040190689358266
3.95,0.027395075225902607,0.025891948410980404,0.9027828811020349
4.0,0.027451586604714955,0.02591108917280084,0.9015458691691706
4.05,0.027509556687846857,0.02593046399890932,0.9003079754978386
4.1,0.027561039824292324,0.025950042682682216,0.8990692881608243
4.15,0.02761092448378524,0.025969752940174402,0.8978300569909918
4.2,0.027660666337338533,0.025989586920780145,0.8965903008071733
4.25,0.027710265384952207,0.026009538577731445,0.8953500328987498
4.3,0.027759721626626262,0.026029602145505308,0.8941092665140021
4.35,0.0278090350623607,0.026049772123660293,0.892868014860014
4.4,0.027858205692155517,0.02607004326177498,0.8916262911025782
4.45,0.027907233516010713,0.026090410545401982,0.8903841083661034
4.5,0.02795611853392629,0.026110869182958223,0.8891414797335224
4.55,0.028004860745902246,0.02613141459347966,0.8878984182462034
4.6,0.028053460151938586,0.026152042395174612,0.8866549369038604
4.65,0.028101916752035303,0.026172748394715555,0.8854110486644676
4.7,0.028150230546192402,0.026193528577214416,0.884166766444174
4.75,0.02819840153440988,0.026214379096831063,0.8829221031172195
4.8,0.028246429716687737,0.026235296267968698,0.8816770715158534
4.8500000000000005,0.028294315093025976,0.026256276557013892,0.8804316844302535
4.9,0.028342057663424597,0.026277316574582314,0.8791859546084477
4.95,0.0283896574278836,0.026298413068234508,0.877939894756236
5.0,0.02843711438640298,0.026319562915628546,0.876693517537115
5.05,0.028484428538982736,0.026340763118079626,0.8754468355722033
5.1000000000000005,0.028519836609592345,0.02636197826142935,0.8742000064862434
5.15,0.02854845620152408,0.026383064511916597,0.872953680639924
5.2,0.028580487920769834,0.026404036850428973,0.8717078098937349
5.25,0.028615931767329617,0.026424931028044954,0.870462248867234
